Tweets,Category
hi we understand this can be upsetting driver paners are encouraged to complete accept every trip request as long as the drop off location is within our service area please drop us a note via the help section of your app well take this up,1
hey savani weve fixed this for you and processed a refund kindly check the help section of your app for more details,1
hey sanju for us to assist you better kindly help us with your registered mobile number over direct message and also drop us a note via the help section of your app with the concerned trip in reference well look into it,1
we understand your concern nikhil we have made a note of your feedback and will pass it on to the concerned team,0
hey vinay were sorry to hear about the trouble here in case youre unable to reach out to the driverpaner please go ahead and cancel the trip from your end in order to request for a new one,1
if youre charged a cancellation fee you can always drop us a note viaand well look into it at the earliest,1
hey there if you have concerns related to a specific trip kindly drop us a note via the help section of your app well look into it for you also please share your registered mobile number via direct message,1
hey mukund this is definitely not the kind of experience we would like you to have please drop us a note via the help section of your app with the concerned trip or do share the date and time of the trip in reference and well look into it at the earliest,1
hey ankit we have made the necessary adjustments and have sent an update in the inapp help section kindly check for the same,1
hey there sorry to hear about the hassle here cancellations do not reflect well on a driver paners account we do monitor such instances on a timely basis and take the necessary actions please be assured that were striving to improve your experience with us constantly,1
hey priyansh sorry to hear about the trouble kindly share your registered details with us via direct message also share the license plate number of the vehicle we will get back to you,0
we understand that driver cancellations can throw off your plans vinay please be assured that we monitor such instances on a timely basis weve made a note of this and well be bringing it to the concerned teams notice thank you,1
hey rahul sorry to hear about the trouble could you please share your registered phone number and email id via direct message we shall followup,1
hey pah could you please share more details around your concern well look into it,1
hey varun we have made the necessary adjustments and have sent an update in the inapp help section kindly check for the same,1
hey mitali could you please elaborate your concern and help us with the date and time of the trip appreciate your understanding,1
hey ayan sorry to hear about the trouble kindly drop us a note via the help section of your app also share your registered mobile number with us via direct message we will look into this,0
hey there sorry to hear about the trouble please repo this via the inapp help section and direct message us your registered contact details well follow up,1
hey kiran weve fixed this for you we also see that a response has been sent your way please check the help section of your app and kindly reve to the same email thread in case of any fuher concern,1
hey there sorry to hear about the trouble we have escalated your query to the concerned team please allow us sometime well be back with an update soon appreciate your understanding,1
hey piyush sorry to hear about the trouble please repo this via the inapp help section and direct message us your registered contact details well follow up,1
hey ravi sorry to hear about the trouble kindly share your registered details via direct message also please drop us a note via the help section of your app well follow up,1
hey there sorry to hear about the hassle here if youve been incorrectly charged please drop us a note via the help section of your app also do share your registered details via direct message and our team will follow up,0
sorry to hear about the trouble parul we would like to address this for you could you please provide us your registered contact details via direct message so that we can get this addressed also please repo your concern via the help section of your uber app,1
sorry to hear about the inconvenience nitish we would like to address this for you if you have been incorrectly charged please provide us your registered contact details via direct message so that we can get this addressed,1
hey meraj sorry to hear about the inconvenience driverpaners are encouraged to accept and complete every trip request to avoid any unpleasant experience for riders weve reviewed the trip details and see that our system has added uber credits to your account 12,0
weve made a note of your feedback on our pointbased model which helps us improve our services also weve sent a response your way please refer to the help section of your app for fuher details appreciate your understanding 22,1
hey sumit sorry to hear about the trouble we have already addressed your concern please check the inapp help section of your app for fuher details also we appreciate you taking the time to share your feedback and helping us maintain the quality of the uber experience,1
hey jay we were able to connect with the concerned driver paner who has confirmed that youve already received your item please let us know if theres anything else we can assist you with in this regard well be happy to help,1
hey avishek sorry to hear about the trouble could you please share the registered email id and the phone number from which the trip was requested via direct message we shall look into it,1
hey gaurav could you please provide us your registered contact details via direct message so that we can get this addressed,1
hey there sorry to hear about the trouble youve faced could you please share your registered phone number and email id via direct message we shall followup,1
hey there the screenshot shared by you is not a valid one please share a clearcomplete screenshot of the error message for outstanding payment in order to help you on this appreciate your understanding,1
hey there sorry to hear about the inconvenience it looks like our team has already addressed your concern adjusted the fare noted the feedback and sent a response your way please check the help section of your app for fuher details appreciate your understanding,1
hey hemant could you please share the screenshot of the fir copy via direct message to assist you fuher,1
hey there while we do not offer a phone suppo we do keep a track of all suppo queries inapp kindly repo your concern viaalso do share your registered details through direct message and well follow up,1
hey rohan thank you for reaching out to us weve looked into your concern and have fixed this for you you should be able to request rides without any issue,0
hey there weve reviewed your concern and sent a response your way kindly check the inapp help section for an update,0
hey we understand this can be upsetting were always here to help you please share your registered details via direct message and well fix this,1
hey aniruddha uber gift cards do not have an expiry and can be used to request rides as well,1
hey himanshu this is definitely not the kind of experience we want you to have kindly repo your concern via the inapp help section for the trip in reference also do share your registered details through direct message and well follow up,1
hey darshika we understand your concern however we have already sent a response your way please refer to the help section of your app for fuher details,1
hey shalini we understand that this must have been very frustrating this is ceainly what we dont expect as an experience on ubers platform however we have recorded this feedback and will have necessary measures taken,0
hey sorry to hear that you had issues with your account please help us with your registered details via direct message well look into this for you,1
hey anshul we would love to assist you could you help us with the contact number used to request this ride the vehicle number date and time of the trip and an alternate number also help us with the email id attached to your uber account for fuher communication,1
hey rahul sorry to hear about the trouble we understand this may have caused an inconvenience and an unexpected delay we have reviewed your account and it looks like our team has made a note of your feedback and have sent responses your way 12,0
please check the inapp help section for fuher details appreciate your understanding 22,1
hey there we would love to assist you could you help us with the contact number used to request this ride the vehicle number date and time of the trip and an alternate number also help us with the email id attached to your uber account for fuher communication,1
hey weve made the necessary account changes please sign in viato reset your password,1
hey ravi it looks like weve adjusted the fare for you and have refunded it in the form of uber credits please check for the same under the payment tab of the app,1
hey sorry to hear that you had issues with your account please help us with your registered details via direct message well look into this for you,1
hey can you please drop us a note viaand share your registered mobile number well address your concern,1
hey nirdesh sorry to hear about the trouble with your trip request kindly repo your concern via the inapp help section also do share your registered details through direct message and well follow up,1
hey ajay sorry to hear about the trouble here kindly repo your concern via the inapp help section also do share your registered details through direct message and well follow up,1
hey please help us with the trip details,1
hey weve sent you a response and you can view the same under the help section of your app please reve on the same thread for fuher assistance,1
hey based on your experience and feedback weve initiated a refund please refer to the inapp help section for fuher details and reve to the same thread for any fuher queries well be happy to help,1
hey were unable to locate your query please confirm the registered details via which you have written in,1
hey it looks like the invite code that youve been referred to can only be applied in ghana appreciate your understanding in this regard,1
hey can you please drop us a note viawell address your concern,1
hi we understand this can be upsetting driver paners are encouraged to complete accept every trip request as long as the drop off location is within our service area please drop us a note via the help section of your app well take this up,1
hey there sorry to hear about the trouble with your trip request kindly repo your concern via the inapp help section also do share your registered details through direct message and well follow up,1
hey please help us with your registered phone number via direct message well look into this for you,1
so sorry for the trouble our team is aware of the issue and were working to get back up and running as quickly as possible,0
hey newton weve adjusted the fare and have sent a response your way please check for the same under the help section of the app,1
hey weve sent you a response and you can view the same under the help section of your app please reve on the same thread for fuher assistance,1
happy to help hope to see you in an uber soon,1
hey can you please drop us a note using the help section of your app well address your concern,1
hey please share the date and time of the trip so we can take appropriate actions against this incident,1
hey weve located your inapp query our teams are working on it and well get back to you soon,1
hey weve sent you a response and you can view the same under the help section of your app please reve on the same thread for fuher assistance,1
hey abhishek our systems are surely designed in a way to determine the location of our riders and driverpaners but this seems like a technical glitch rest assured well get you to your destination safe and quick happy sailing the dry paths,1
hey there you can always download the receipts for all your previous trips by visitingdo let us know in case you have any fuher concerns well look into it,1
hey gourab sorry to hear about the trouble kindly share your registered details via direct message also drop us a note via the help section of your app if you havent done so already we will follow up,0
hey vinit sorry to hear about the trouble kindly share your registered details via direct message we will look into it,0
hey vamshi sorry to hear about the trouble kindly reve on the same thread we will follow up,0
sorry to hear about the hassle here please drop us a note via the help section of your app with the trip in reference and direct message us your registered email idphone number so we can take the necessary actions,0
hey brijendra sorry to hear about this please share your registered details with us via direct message we will look into this for you,1
hey sorry to hear about this unpleasant experience this is definitely not the kind of experience we would like you to have on our platform please drop us a note viawe will follow up,1
hey sandip we understand that this must have been very frustrating your feedback plays an impoant role in helping us extend a positive and pleasant experience rest assured weve made a note of your feedback which will help us improve your experience in the future,1
hey vaibhav sorry to hear about the trouble kindly share your registered mobile number with us via direct message we will look into this,0
hey fahad we understand this can be upsetting were always here to help please share your registered details via direct message and well fix this for you,1
hey ajit we understand this can be upsetting were always here to help please share your registered details via direct message and well fix this for you,1
